,Wd,We,"theta(Wd,We)"
10.92,1.304689674190477,1.2727011285838608,-0.17360316588278904
10.99,1.3047709637692924,1.2726836941978765,-0.1740540045317025
11.06,1.3048522533481082,1.272666259811892,-0.17450484318061596
11.13,1.3049335429269238,1.2726488254259078,-0.17495568182952942
11.2,1.3050148325057394,1.2726313910399234,-0.17540652047844288
11.27,1.3050961220845547,1.272613956653939,-0.17585735912735634
11.34,1.3051774116633705,1.2725965222679543,-0.1763081977762698
11.41,1.3052587012421863,1.27257908788197,-0.17675903642518326
11.48,1.305339990821002,1.2725616534959856,-0.17720987507409672
11.55,1.3054212803998175,1.2725442191100012,-0.17766071372301018
11.62,1.3055025699786331,1.272526784724017,-0.1781115523719236
11.69,1.3055838595574487,1.2725093503380327,-0.17856239102083707
11.76,1.3056651491362643,1.2724919159520482,-0.17901322966975053
11.83,1.30574643871508,1.2724744815660638,-0.179464068318664
11.9,1.3058277282938957,1.2724570471800791,-0.17991490696757748
11.97,1.305909017872711,1.272439612794095,-0.1803657456164909
12.04,1.3059903074515269,1.2724221784081104,-0.18081658426540437
12.11,1.3060715970303425,1.2724047440221262,-0.18126742291431783
12.18,1.3061528866091583,1.272387309636142,-0.1817182615632313
12.25,1.3062341761879739,1.2723698752501575,-0.18216910021214475
12.32,1.3063154657667895,1.272352440864173,-0.1826199388610582
12.39,1.306396755345605,1.2723350064781886,-0.18307077750997167
12.46,1.3064780449244207,1.2723175720922042,-0.1835216161588851
12.53,1.3065593345032365,1.2723001377062197,-0.18397245480779859
12.6,1.3066406240820518,1.2722827033202355,-0.18442329345671202
12.67,1.3067219136608674,1.272265268934251,-0.1848741321056255
12.74,1.3068032032396832,1.2722478345482666,-0.18532497075453894
12.81,1.3068844928184988,1.2722304001622824,-0.18577580940345242
12.88,1.3069657823973144,1.2722129657762982,-0.18622664805236586
12.95,1.3070470719761298,1.2721955313903133,-0.18667748670127934
13.02,1.3071283615549456,1.272178097004329,-0.18712832535019278
13.09,1.3072096511337614,1.2721606626183446,-0.18757916399910626
13.16,1.307290940712577,1.2721432282323604,-0.1880300026480197
13.23,1.3073722302913926,1.272125793846376,-0.18848084129693318
13.3,1.3074535198702082,1.2721083594603917,-0.18893167994584661
13.37,1.3075348094490238,1.2720909250744072,-0.18938251859476005
13.44,1.3076160990278392,1.2720734906884228,-0.18983335724367353
13.51,1.307697388606655,1.2720560563024383,-0.190284195892587
13.58,1.3077786781854708,1.272038621916454,-0.19073503454150045
13.65,1.3078599677642861,1.2720211875304694,-0.19118587319041389
13.72,1.307941257343102,1.2720037531444852,-0.19163671183932737
13.79,1.3080225469219176,1.271986318758501,-0.19208755048824083
13.86,1.3081038365007331,1.2719688843725165,-0.1925383891371543
13.93,1.3081851260795485,1.271951449986532,-0.19298922778606772
14.0,1.3082664156583643,1.2719340156005476,-0.1934400664349812
14.07,1.3083477052371801,1.2719165812145632,-0.19389090508389467
14.14,1.3084289948159957,1.2718991468285787,-0.1943417437328081
14.21,1.3085102843948113,1.2718817124425945,-0.1947925823817216
14.28,1.3085915739736267,1.27186427805661,-0.19524342103063502
14.35,1.3086728635524425,1.2718468436706256,-0.19569425967954848
14.42,1.3087541531312583,1.2718294092846414,-0.19614509832846194
14.49,1.308835442710074,1.271811974898657,-0.1965959369773754
14.56,1.3089167322888893,1.2717945405126723,-0.19704677562628886
14.63,1.3089980218677049,1.271777106126688,-0.19749761427520232
14.7,1.3090793114465207,1.2717596717407038,-0.19794845292411578
14.77,1.3091606010253365,1.2717422373547194,-0.19839929157302924
14.84,1.3092418906041519,1.271724802968735,-0.19885013022194267
14.91,1.3093231801829677,1.2717073685827507,-0.19930096887085616
14.98,1.309404469761783,1.2716899341967662,-0.19975180751976962
15.05,1.3094857593405989,1.2716724998107816,-0.20020264616868305
15.12,1.3095670489194144,1.2716550654247973,-0.2006534848175965
15.19,1.30964833849823,1.2716376310388129,-0.20110432346650997
15.26,1.3097296280770458,1.2716201966528287,-0.20155516211542346
