,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
13.58,1.0,0.0,0.02,2.54,2.48
13.65,1.01,0.0,0.02,2.2,2.23
13.72,1.01,0.0,0.02,1.95,2.17
13.79,1.02,0.0,0.02,2.15,2.29
13.86,1.02,0.0,0.01,1.92,2.15
13.93,1.03,0.0,0.01,2.15,2.06
14.0,1.03,0.0,0.01,1.92,2.06
14.07,1.04,0.0,0.01,2.06,2.01
14.14,1.04,0.0,0.01,1.92,2.03
14.21,1.05,0.0,0.01,1.95,1.98
14.28,1.05,0.0,0.01,2.12,2.31
14.35,1.06,0.0,0.0,2.01,2.26
14.42,1.06,0.0,-0.0,2.29,2.37
14.49,1.07,0.0,-0.01,2.31,2.54
14.56,1.07,0.0,-0.01,2.48,2.59
14.63,1.08,0.0,-0.01,2.51,2.45
14.7,1.09,0.0,-0.01,2.34,2.54
14.77,1.09,0.0,-0.01,2.34,2.56
14.84,1.1,0.0,-0.02,2.42,2.51
14.91,1.1,0.0,-0.02,2.37,2.48
14.98,1.11,0.0,-0.02,2.45,2.37
15.05,1.11,0.0,-0.01,2.37,2.17
15.12,1.12,0.0,-0.02,2.17,2.45
15.19,1.12,0.0,-0.02,2.03,2.29
15.26,1.13,0.0,-0.03,1.9,2.17
15.33,1.13,0.0,-0.03,2.17,2.2
15.4,1.14,0.0,-0.02,2.31,2.03
15.47,1.15,0.0,-0.02,2.37,2.23
15.54,1.15,0.0,-0.02,2.31,2.06
15.61,1.16,-0.0,-0.01,2.31,2.09
15.68,1.16,-0.0,-0.01,2.12,2.15
15.75,1.17,-0.0,-0.01,2.2,1.95
15.82,1.17,-0.0,-0.01,2.15,2.26
15.89,1.18,-0.0,-0.01,2.34,2.2
15.96,1.18,-0.0,-0.0,2.48,2.29
16.03,1.19,-0.0,-0.0,2.48,2.45
16.1,1.19,-0.0,0.0,2.62,2.45
16.17,1.2,-0.0,0.0,2.62,2.45
16.24,1.21,-0.0,0.0,2.48,2.42
16.31,1.21,-0.0,0.01,2.48,2.4
16.38,1.22,-0.0,0.01,2.4,2.37
16.45,1.22,-0.0,0.0,2.23,2.45
16.52,1.23,-0.0,-0.0,2.09,2.37
16.59,1.23,-0.0,-0.0,2.23,2.17
16.66,1.24,-0.0,-0.01,2.04,2.23
16.73,1.24,-0.0,-0.0,2.26,2.09
16.8,1.25,-0.0,-0.0,2.01,2.15
16.87,1.25,-0.0,-0.01,2.03,2.12
16.94,1.26,-0.0,-0.01,2.2,2.2
17.01,1.26,-0.0,-0.01,2.03,2.34
17.08,1.27,-0.0,-0.01,2.31,2.29
17.15,1.28,-0.0,-0.01,2.31,2.45
17.22,1.28,-0.0,-0.02,2.42,2.48
17.29,1.29,-0.0,-0.01,2.42,2.23
17.36,1.29,-0.0,-0.01,2.34,2.4
17.43,1.3,-0.0,-0.01,2.4,2.4
17.5,1.3,-0.0,-0.01,2.56,2.45
17.57,1.31,-0.0,-0.01,2.45,2.42
17.64,1.32,-0.0,-0.01,2.54,2.34
17.71,1.32,-0.0,-0.0,2.48,2.29
17.78,1.33,-0.0,-0.0,2.31,2.43
17.85,1.33,-0.0,-0.01,1.98,2.37
17.92,1.34,-0.0,-0.01,2.01,2.12
17.99,1.34,-0.0,-0.01,2.2,2.17
18.06,1.35,-0.0,-0.0,2.48,1.95
18.13,1.35,-0.0,0.0,2.31,2.12
