,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)"
3.92,-0.017848956381809805,-0.01122416793378042,0.0003324765353238075,-0.01929646437846469,-0.014164647953918818
3.99,-0.018700292629954027,-0.011727403827106945,0.00042018522651751975,-0.018102920466288343,-0.014121141650528747
4.06,-0.01955162887809825,-0.012230639720433464,0.0005104268527996649,-0.01690937655411201,-0.014077635347138675
4.13,-0.020402965126242466,-0.012733875613759991,0.0006031604453483544,-0.015715832641935663,-0.014034129043748605
4.2,-0.02125430137438669,-0.013237111507086514,0.0006983450353416942,-0.01452228872975932,-0.013990622740358534
4.27,-0.022105637622530906,-0.013740347400413036,0.000795939653957798,-0.013328744817582987,-0.013947116436968464
4.34,-0.022956973870675135,-0.014243583293739565,0.0008959033323747758,-0.01213520090540664,-0.013903610133578392
4.41,-0.02380831011881935,-0.014746819187066086,0.0009981951017707374,-0.010941656993230294,-0.013860103830188321
4.48,-0.024659646366963585,-0.015250055080392615,0.0011027739933237933,-0.009748113081053951,-0.013816597526798249
4.55,-0.025510982615107793,-0.015753290973719133,0.00120959903821205,-0.008554569168877615,-0.013773091223408179
4.62,-0.026362318863252018,-0.016256526867045658,0.001318629267613623,-0.007361025256701275,-0.013729584920018106
4.69,-0.027213655111396243,-0.016759762760372186,0.0014298237127066227,-0.006167481344524925,-0.013686078616628038
4.76,-0.028064991359540457,-0.017262998653698704,0.0015431414046691515,-0.004973937432348596,-0.013642572313237964
4.83,-0.028916327607684686,-0.017766234547025233,0.0016585413746793265,-0.0037803935201722455,-0.013599066009847895
4.9,-0.02976766385582891,-0.018269470440351758,0.0017759826539152578,-0.002586849607995899,-0.013555559706457823
4.97,-0.030619000103973115,-0.018772706333678276,0.0018954242735550512,-0.001393305695819573,-0.013512053403067756
5.04,-0.03147033635211735,-0.019275942227004805,0.002016825264776819,-0.00019976178364322292,-0.013468547099677684
5.11,-0.03232167260026157,-0.01977917812033133,0.002140144658758671,0.0009937821285331237,-0.013425040796287613
5.18,-0.03317300884840578,-0.020282414013657848,0.002265341486678719,0.0021873260407094496,-0.013381534492897543
5.25,-0.03402434509655001,-0.020785649906984373,0.002392374779715072,0.0033808699528857997,-0.01333802818950747
5.32,-0.03487568134469424,-0.0212888858003109,0.002521203569045839,0.004574413865062146,-0.0132945218861174
5.39,-0.035727017592838445,-0.021792121693637416,0.0026517868858491316,0.005767957777238472,-0.01325101558272733
5.46,-0.03657835384098267,-0.022295357586963944,0.002784083761303062,0.006961501689414822,-0.013207509279337257
5.53,-0.037429690089126895,-0.022798593480290473,0.002918053226585736,0.008155045601591169,-0.013164002975947187
5.6,-0.03828102633727111,-0.023301829373616988,0.0030536543128752633,0.009348589513767498,-0.013120496672557118
5.67,-0.03913236258541534,-0.02380506526694352,0.0031908460513497584,0.010542133425943848,-0.013076990369167048
5.74,-0.03998369883355956,-0.024308301160270045,0.0033295874731873306,0.011735677338120191,-0.013033484065776976
5.81,-0.04083503508170377,-0.024811537053596563,0.0034698376095660855,0.01292922125029652,-0.012989977762386905
