,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)",Wd_true,We_true
8.61,2.3111738308033254,2.306657509407328,0.008084528532514719,0.6608041808401742,1.4629275251516385,2.305953898518071,2.3180653290614877
8.68,2.311864108566578,2.307190580944951,0.007963149569549521,0.6664720469319045,1.4626251362065799,2.3068727683139927,2.3177095613601435
8.75,2.31255438632983,2.3077236524825744,0.00783958269316746,0.6721399130236347,1.4623227472615214,2.307791638109914,2.3173537936588
8.82,2.3132446640930824,2.3082567240201977,0.007713838245129854,0.677807779115365,1.462020358316463,2.3087105079058357,2.3169980259574556
8.89,2.313934941856335,2.308789795557821,0.007585926567198033,0.6834756452070955,1.4617179693714046,2.3096293777017576,2.316642258256112
8.96,2.3146252196195873,2.309322867095444,0.007455858001133316,0.6891435112988257,1.4614155804263462,2.3105482474976786,2.3162864905547678
9.03,2.31531549738284,2.3098559386330675,0.007323642888697039,0.6948113773905559,1.4611131914812878,2.3114671172936,2.315930722853424
9.1,2.3160057751460923,2.3103890101706908,0.007189291571650517,0.7004792434822861,1.4608108025362292,2.312385987089522,2.31557495515208
9.17,2.3166960529093448,2.310922081708314,0.007052814391755083,0.7061471095740164,1.4605084135911708,2.3133048568854435,2.3152191874507357
9.24,2.317386330672597,2.3114551532459373,0.006914221690772054,0.7118149756657467,1.4602060246461124,2.314223726681365,2.314863419749392
9.31,2.318076608435849,2.31198822478356,0.0067735238104627655,0.7174828417574769,1.4599036357010537,2.315142596477286,2.314507652048048
9.38,2.3187668861991018,2.312521296321184,0.00663073109258854,0.7231507078492072,1.4596012467559953,2.316061466273208,2.314151884346704
9.45,2.319457163962354,2.313054367858807,0.006485853878910704,0.7288185739409373,1.459298857810937,2.3169803360691295,2.31379611664536
9.52,2.3201474417256067,2.3135874393964304,0.006338902511190578,0.7344864400326675,1.4589964688658783,2.316785989456957,2.313419343866242
9.59,2.3208377194888588,2.3141205109340532,0.006189887331189489,0.7401543061243978,1.4586940799208201,2.316591642844784,2.313042571087123
9.66,2.321527997252111,2.314653582471677,0.006038818680668763,0.745822172216128,1.4583916909757615,2.316397296232611,2.3126657983080046
9.73,2.3222182750153637,2.3151866540093,0.005885706901389726,0.7514900383078583,1.4580893020307033,2.316202949620439,2.3122890255288864
9.8,2.3229085527786157,2.3157197255469235,0.0057305623351137066,0.7571579043995886,1.4577869130856445,2.316008603008266,2.3119122527497677
9.87,2.3235988305418687,2.316252797084547,0.005573395323602032,0.7628257704913188,1.457484524140586,2.3158142563960937,2.3115354799706496
9.94,2.324289108305121,2.31678586862217,0.005414216208616016,0.7684936365830491,1.4571821351955276,2.315619909783921,2.311158707191531
10.01,2.3249793860683736,2.3173189401597933,0.005253035331916997,0.7741615026747793,1.4568797462504695,2.315425563171748,2.3107819344124128
10.08,2.3256696638316257,2.3178520116974166,0.005089863035266295,0.7798293687665097,1.4565773573054108,2.315231216559576,2.3104051616332946
10.15,2.326359941594878,2.3183850832350394,0.004924709660425231,0.78549723485824,1.4562749683603524,2.315036869947403,2.3100283888541764
10.22,2.3270502193581306,2.318918154772663,0.0047575855491551414,0.7911651009499702,1.4559725794152938,2.3148425233352308,2.309651616075058
10.29,2.3277404971213826,2.319451226310286,0.004588501043217345,0.7968329670417004,1.4556701904702354,2.3146481767230576,2.3092748432959396
10.36,2.328430774884635,2.3199842978479097,0.0044174664843731675,0.8025008331334307,1.455367801525177,2.3144538301108852,2.308898070516821
10.43,2.3291210526478876,2.320517369385533,0.004244492214383932,0.8081686992251609,1.4550654125801186,2.314259483498713,2.3085212977377028
10.5,2.32981133041114,2.321050440923156,0.004069588575010969,0.8138365653168912,1.45476302363506,2.3140651368865397,2.308144524958584
10.57,2.3305016081743926,2.321583512460779,0.0038927659080156022,0.8195044314086214,1.4544606346900013,2.3138707902743674,2.307767752179466
10.64,2.331191885937645,2.3221165839984024,0.003714034555159158,0.8251722975003517,1.454158245744943,2.313676443662195,2.3073909794003473
10.71,2.3318821637008975,2.3226496555360256,0.0035334048582029622,0.830840163592082,1.4538558567998847,2.313482097050022,2.307014206621229
10.78,2.3325724414641495,2.3231827270736494,0.00335088715890834,0.8365080296838121,1.453553467854826,2.3132877504378495,2.3066374338421105
10.85,2.333262719227402,2.323715798611272,0.003166491799036616,0.8421758957755424,1.4532510789097675,2.3130934038256767,2.3062606610629923
10.92,2.3339529969906545,2.3242488701488955,0.0029802291203491135,0.8478437618672726,1.452948689964709,2.312899057213504,2.3058838882838737
10.99,2.3346432747539065,2.3247819416865187,0.002792109464607161,0.8535116279590029,1.4526463010196506,2.3127047106013316,2.3055071155047555
11.06,2.335333552517159,2.325315013224142,0.002602143173572086,0.8591794940507332,1.4523439120745922,2.312510363989159,2.3051303427256373
11.13,2.3360238302804115,2.3258480847617653,0.0024103405890052096,0.8648473601424634,1.4520415231295338,2.312316017376986,2.304753569946519
11.2,2.3367141080436644,2.3263811562993886,0.0022167120526678675,0.8705152262341938,1.4517391341844754,2.3121216707648133,2.3043767971674005
11.27,2.3374043858069165,2.326914227837012,0.002021267906321369,0.8761830923259241,1.4514367452394168,2.311927324152641,2.304000024388282
11.34,2.338094663570169,2.3274472993746356,0.001824018491727049,0.8818509584176543,1.4511343562943584,2.3117329775404682,2.3036232516091637
11.41,2.3387849413334214,2.3279803709122584,0.0016249741506462355,0.8875188245093846,1.4508319673492998,2.3115386309282955,2.303246478830045
11.48,2.3394752190966734,2.328513442449882,0.0014241452248402488,0.8931866906011148,1.4505295784042413,2.311344284316123,2.302869706050927
11.55,2.3401654968599264,2.329046513987505,0.0012215420560704147,0.8988545566928451,1.450227189459183,2.3111499377039504,2.3024929332718083
11.62,2.3408557746231784,2.3295795855251282,0.0010171749860980678,0.9045224227845752,1.4499248005141245,2.310955591091778,2.30211616049269
11.69,2.341546052386431,2.3301126570627515,0.000811054356684519,0.9101902888763054,1.4496224115690661,2.3107612444796053,2.301739387713572
11.76,2.3422363301496834,2.3306457286003748,0.0006031905095911028,0.9158581549680357,1.4493200226240077,2.3105668978674325,2.3013626149344537
11.83,2.3429266079129354,2.331178800137998,0.00039359378657914147,0.9215260210597659,1.4490176336789493,2.3103725512552598,2.300985842155335
11.9,2.343616885676188,2.3317118716756213,0.00018227452940996428,0.9271938871514962,1.4487152447338907,2.310178204643087,2.3006090693762165
11.97,2.3443071634394403,2.3322449432132446,-3.075692015510646e-05,0.9328617532432265,1.4484128557888323,2.3099838580309147,2.3002322965970983
12.04,2.344997441202693,2.332778014750868,-0.0002454902203547398,0.9385296193349566,1.4481104668437739,2.3097895114187423,2.29985552381798
12.11,2.3456877189659453,2.333311086288491,-0.0004619150294276203,0.9441974854266869,1.4478080778987152,2.309595164806569,2.2994787510388615
12.18,2.3463779967291973,2.333844157826114,-0.0006800210056124127,0.9498653515184172,1.4475056889536568,2.309400818194397,2.2991019782597433
