X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
1.00000,0.00000,0.02000,2.65000,2.62000,2.22000,2.28000,14196.00000
1.00000,0.00000,0.02000,2.54000,2.48000,2.22000,2.28000,6048.00000
1.01000,0.00000,0.02000,2.20000,2.23000,2.21000,2.28000,-2040.00000
1.01000,0.00000,0.02000,1.95000,2.17000,2.21000,2.28000,-10148.00000
1.02000,0.00000,0.02000,2.15000,2.29000,2.24000,2.29000,-18260.00000
1.02000,0.00000,0.01000,1.92000,2.15000,2.25000,2.30000,-26388.00000
1.03000,0.00000,0.01000,2.15000,2.06000,2.27000,2.31000,31000.00000
1.03000,0.00000,0.01000,1.92000,2.06000,2.26000,2.30000,22900.00000
1.04000,0.00000,0.01000,2.06000,2.01000,2.28000,2.31000,14760.00000
1.04000,0.00000,0.01000,1.92000,2.03000,2.27000,2.31000,6680.00000
1.05000,0.00000,0.01000,1.95000,1.98000,2.28000,2.31000,-1372.00000
1.05000,0.00000,0.01000,2.12000,2.31000,2.28000,2.31000,-9432.00000
1.06000,0.00000,0.00000,2.01000,2.26000,2.30000,2.32000,-17504.00000
1.06000,0.00000,-0.00000,2.29000,2.37000,2.32000,2.33000,-25680.00000
1.07000,0.00000,-0.01000,2.31000,2.54000,2.33000,2.33000,31728.00000
1.07000,0.00000,-0.01000,2.48000,2.59000,2.32000,2.31000,23560.00000
1.08000,0.00000,-0.01000,2.51000,2.45000,2.32000,2.30000,15440.00000
1.09000,0.00000,-0.01000,2.34000,2.54000,2.32000,2.31000,7304.00000
1.09000,0.00000,-0.01000,2.34000,2.56000,2.32000,2.29000,-812.00000
1.10000,0.00000,-0.02000,2.42000,2.51000,2.31000,2.27000,-8868.00000
1.10000,0.00000,-0.02000,2.37000,2.48000,2.30000,2.26000,-16984.00000
1.11000,0.00000,-0.02000,2.45000,2.37000,2.30000,2.25000,-25124.00000
1.11000,0.00000,-0.01000,2.37000,2.17000,2.30000,2.26000,32260.00000
1.12000,0.00000,-0.02000,2.17000,2.45000,2.31000,2.28000,24128.00000
1.12000,0.00000,-0.02000,2.03000,2.29000,2.30000,2.25000,16008.00000
1.13000,0.00000,-0.03000,1.90000,2.17000,2.28000,2.22000,7864.00000
1.13000,0.00000,-0.03000,2.17000,2.20000,2.26000,2.19000,-232.00000
1.14000,0.00000,-0.02000,2.31000,2.03000,2.26000,2.19000,-8244.00000
1.15000,0.00000,-0.02000,2.37000,2.23000,2.28000,2.22000,-16312.00000
1.15000,0.00000,-0.02000,2.31000,2.06000,2.29000,2.23000,-24488.00000
1.16000,-0.00000,-0.01000,2.31000,2.09000,2.30000,2.26000,-32628.00000
1.16000,-0.00000,-0.01000,2.12000,2.15000,2.31000,2.28000,24776.00000
1.17000,-0.00000,-0.01000,2.20000,1.95000,2.31000,2.27000,16632.00000
1.17000,-0.00000,-0.01000,2.15000,2.26000,2.32000,2.30000,8492.00000
1.18000,-0.00000,-0.01000,2.34000,2.20000,2.31000,2.29000,396.00000
1.18000,-0.00000,-0.00000,2.48000,2.29000,2.32000,2.30000,-7660.00000
1.19000,-0.00000,-0.00000,2.48000,2.45000,2.32000,2.32000,-15748.00000
1.19000,-0.00000,0.00000,2.62000,2.45000,2.33000,2.32000,-23912.00000
1.20000,-0.00000,0.00000,2.62000,2.45000,2.33000,2.33000,-32060.00000
1.21000,-0.00000,0.00000,2.48000,2.42000,2.32000,2.33000,25324.00000
1.21000,-0.00000,0.01000,2.48000,2.40000,2.31000,2.32000,17180.00000
1.22000,-0.00000,0.01000,2.40000,2.37000,2.30000,2.32000,9000.00000
1.22000,-0.00000,0.00000,2.23000,2.45000,2.30000,2.32000,964.00000
1.23000,-0.00000,-0.00000,2.09000,2.37000,2.32000,2.33000,-7080.00000
1.23000,-0.00000,-0.00000,2.23000,2.17000,2.33000,2.32000,-15172.00000
1.24000,-0.00000,-0.01000,2.04000,2.23000,2.33000,2.32000,-23324.00000
1.24000,-0.00000,-0.00000,2.26000,2.09000,2.32000,2.31000,-31460.00000
1.25000,-0.00000,-0.00000,2.01000,2.15000,2.33000,2.32000,25952.00000
1.25000,-0.00000,-0.01000,2.03000,2.12000,2.32000,2.31000,17820.00000
1.26000,-0.00000,-0.01000,2.20000,2.20000,2.32000,2.30000,9672.00000
1.26000,-0.00000,-0.01000,2.03000,2.34000,2.32000,2.30000,1656.00000
1.27000,-0.00000,-0.01000,2.31000,2.29000,2.31000,2.27000,-6452.00000
1.28000,-0.00000,-0.01000,2.31000,2.45000,2.31000,2.27000,-14560.00000
1.28000,-0.00000,-0.02000,2.42000,2.48000,2.30000,2.26000,-22740.00000
1.29000,-0.00000,-0.01000,2.42000,2.23000,2.30000,2.25000,-30884.00000
1.29000,-0.00000,-0.01000,2.34000,2.40000,2.31000,2.27000,26480.00000
1.30000,-0.00000,-0.01000,2.40000,2.40000,2.30000,2.27000,18352.00000
1.30000,-0.00000,-0.01000,2.56000,2.45000,2.30000,2.27000,10240.00000
1.31000,-0.00000,-0.01000,2.45000,2.42000,2.31000,2.28000,2100.00000
1.32000,-0.00000,-0.01000,2.54000,2.34000,2.31000,2.28000,-6024.00000
1.32000,-0.00000,-0.00000,2.48000,2.29000,2.32000,2.30000,-14152.00000
1.33000,-0.00000,-0.00000,2.31000,2.43000,2.32000,2.31000,-22292.00000
1.33000,-0.00000,-0.01000,1.98000,2.37000,2.32000,2.30000,-30456.00000
1.34000,-0.00000,-0.01000,2.01000,2.12000,2.30000,2.27000,26936.00000
1.34000,-0.00000,-0.01000,2.20000,2.17000,2.30000,2.26000,18800.00000
1.35000,-0.00000,-0.00000,2.48000,1.95000,2.30000,2.26000,10676.00000
1.35000,-0.00000,0.00000,2.31000,2.12000,2.32000,2.31000,2540.00000
1.36000,-0.00000,0.01000,2.34000,1.98000,2.33000,2.32000,-5592.00000
1.36000,-0.00000,0.01000,2.34000,2.15000,2.31000,2.32000,-13640.00000
1.37000,-0.00000,0.01000,2.09000,2.15000,2.29000,2.31000,-21788.00000
1.37000,-0.00000,0.01000,2.40000,2.15000,2.30000,2.32000,-29920.00000
1.38000,-0.00000,0.02000,2.31000,2.20000,2.27000,2.31000,27488.00000
1.38000,-0.00000,0.02000,2.26000,2.26000,2.26000,2.30000,19348.00000
1.39000,-0.00000,0.02000,2.48000,2.34000,2.26000,2.30000,11204.00000
1.40000,-0.00000,0.02000,2.42000,2.37000,2.24000,2.29000,3064.00000
1.40000,-0.00000,0.02000,2.56000,2.42000,2.24000,2.29000,-5044.00000
1.41000,-0.00000,0.02000,2.68000,2.59000,2.22000,2.28000,-13164.00000
1.41000,-0.00000,0.03000,2.56000,2.51000,2.21000,2.28000,-21316.00000
1.42000,-0.00000,0.02000,2.26000,2.34000,2.21000,2.27000,-29492.00000
1.43000,-0.00000,0.02000,2.12000,2.43000,2.21000,2.28000,27888.00000
1.43000,0.00000,0.01000,2.17000,2.40000,2.24000,2.29000,19772.00000
1.44000,0.00000,0.01000,1.98000,2.37000,2.27000,2.30000,11612.00000
1.44000,0.00000,0.00000,2.20000,2.31000,2.30000,2.32000,3484.00000
1.45000,0.00000,-0.00000,2.03000,2.29000,2.31000,2.32000,-4572.00000
1.45000,0.00000,0.00000,2.23000,2.06000,2.33000,2.33000,-12656.00000
1.46000,0.00000,0.00000,2.06000,2.15000,2.32000,2.33000,-20788.00000
1.46000,0.00000,-0.00000,1.95000,2.12000,2.32000,2.33000,-28908.00000
1.47000,0.00000,-0.00000,2.17000,2.29000,2.33000,2.32000,28488.00000
1.47000,0.00000,-0.01000,2.15000,2.37000,2.32000,2.31000,20352.00000
1.48000,0.00000,-0.01000,2.42000,2.37000,2.32000,2.29000,12188.00000
1.48000,0.00000,-0.01000,2.45000,2.51000,2.32000,2.30000,4032.00000
1.49000,0.00000,-0.01000,2.40000,2.48000,2.32000,2.29000,-4080.00000
1.50000,-0.00000,-0.01000,2.40000,2.34000,2.31000,2.28000,-12192.00000
1.50000,-0.00000,-0.01000,2.40000,2.34000,2.31000,2.29000,-20344.00000
1.51000,-0.00000,-0.01000,2.29000,2.48000,2.32000,2.29000,-28484.00000
1.51000,-0.00000,-0.01000,2.42000,2.34000,2.31000,2.28000,28884.00000
1.52000,-0.00000,-0.01000,2.31000,2.34000,2.31000,2.28000,20728.00000
1.52000,-0.00000,-0.01000,2.40000,2.29000,2.31000,2.28000,12556.00000
1.53000,-0.00000,-0.00000,2.48000,2.20000,2.31000,2.29000,4408.00000
1.53000,-0.00000,-0.01000,2.20000,2.34000,2.32000,2.31000,-3696.00000
1.54000,-0.00000,-0.02000,1.92000,2.42000,2.32000,2.30000,-11788.00000
1.54000,-0.00000,-0.02000,1.95000,2.23000,2.30000,2.25000,-19948.00000
1.55000,-0.00000,-0.02000,2.29000,2.26000,2.28000,2.22000,-28056.00000
1.56000,-0.00000,-0.01000,2.48000,1.95000,2.28000,2.23000,29320.00000
1.56000,-0.00000,-0.00000,2.42000,2.15000,2.31000,2.28000,21208.00000
1.57000,-0.00000,0.00000,2.31000,1.98000,2.32000,2.30000,13040.00000
1.57000,-0.00000,0.01000,2.31000,2.09000,2.33000,2.33000,4920.00000
1.58000,-0.00000,0.00000,2.12000,2.20000,2.31000,2.32000,-3152.00000
1.58000,-0.00000,0.01000,2.29000,2.03000,2.32000,2.33000,-11248.00000
1.59000,-0.00000,0.01000,2.26000,2.17000,2.30000,2.32000,-19388.00000
1.59000,-0.00000,0.01000,2.34000,2.23000,2.29000,2.31000,-27544.00000
1.60000,-0.00000,0.02000,2.62000,2.40000,2.28000,2.31000,29840.00000
1.60000,-0.00000,0.02000,2.59000,2.45000,2.26000,2.30000,21696.00000
1.61000,-0.00000,0.02000,2.56000,2.45000,2.24000,2.29000,13532.00000
1.62000,-0.00000,0.02000,2.65000,2.59000,2.23000,2.28000,5376.00000
1.62000,-0.00000,0.02000,2.45000,2.40000,2.22000,2.28000,-2728.00000
1.63000,0.00000,0.02000,2.15000,2.15000,2.21000,2.28000,-10864.00000
1.63000,0.00000,0.02000,2.12000,2.37000,2.21000,2.28000,-18960.00000
1.64000,0.00000,0.01000,1.95000,2.20000,2.24000,2.29000,-27044.00000
1.64000,0.00000,0.00000,1.78000,2.37000,2.26000,2.30000,30320.00000
1.65000,0.00000,0.00000,2.17000,2.34000,2.31000,2.32000,22224.00000
1.65000,0.00000,-0.00000,2.03000,2.29000,2.33000,2.33000,14080.00000
1.66000,0.00000,-0.00000,2.31000,2.12000,2.32000,2.31000,5992.00000
1.66000,0.00000,-0.00000,2.12000,2.12000,2.33000,2.33000,-2112.00000
1.67000,0.00000,-0.00000,2.09000,2.06000,2.33000,2.33000,-10184.00000
1.67000,0.00000,-0.00000,2.23000,2.23000,2.33000,2.33000,-18308.00000
1.68000,0.00000,-0.01000,1.98000,2.40000,2.33000,2.33000,-26408.00000
1.68000,0.00000,-0.01000,2.34000,2.34000,2.32000,2.30000,30976.00000
1.69000,0.00000,-0.01000,2.42000,2.42000,2.32000,2.30000,22884.00000
1.70000,0.00000,-0.01000,2.48000,2.45000,2.32000,2.30000,14752.00000
1.70000,0.00000,-0.00000,2.51000,2.34000,2.32000,2.30000,6608.00000
1.71000,0.00000,-0.01000,2.43000,2.45000,2.32000,2.31000,-1472.00000
1.71000,0.00000,-0.00000,2.42000,2.40000,2.32000,2.31000,-9568.00000
1.72000,0.00000,-0.00000,2.48000,2.42000,2.32000,2.31000,-17704.00000
1.72000,0.00000,-0.00000,2.40000,2.42000,2.32000,2.31000,-25836.00000
